99AA01-0717-0068	
This data is for reference only	
250	0.9724
251	0.9728
252	0.9735
253	0.9745
254	0.9747
255	0.9756
256	0.9754
257	0.9773
258	0.9775
259	0.9776
260	0.9778
261	0.9790
262	0.9795
263	0.9796
264	0.9807
265	0.9809
266	0.9816
267	0.9822
268	0.9824
269	0.9821
270	0.9825
271	0.9842
272	0.9834
273	0.9833
274	0.9850
275	0.9854
276	0.9840
277	0.9848
278	0.9838
279	0.9853
280	0.9861
281	0.9849
282	0.9850
283	0.9859
284	0.9854
285	0.9853
286	0.9869
287	0.9856
288	0.9864
289	0.9872
290	0.9861
291	0.9866
292	0.9868
293	0.9842
294	0.9874
295	0.9867
296	0.9855
297	0.9852
298	0.9851
299	0.9845
300	0.9857
301	0.9850
302	0.9858
303	0.9862
304	0.9849
305	0.9863
306	0.9852
307	0.9865
308	0.9857
309	0.9855
310	0.9871
311	0.9861
312	0.9857
313	0.9848
314	0.9855
315	0.9864
316	0.9853
317	0.9864
318	0.9871
319	0.9911
320	0.9865
321	0.9884
322	0.9871
323	0.9888
324	0.9881
325	0.9862
326	0.9863
327	0.9875
328	0.9876
329	0.9886
330	0.9866
331	0.9876
332	0.9879
333	0.9866
334	0.9874
335	0.9870
336	0.9858
337	0.9865
338	0.9871
339	0.9884
340	0.9870
341	0.9861
342	0.9879
343	0.9877
344	0.9866
345	0.9860
346	0.9869
347	0.9864
348	0.9864
349	0.9867
350	0.9865
351	0.9871
352	0.9869
353	0.9857
354	0.9874
355	0.9873
356	0.9873
357	0.9867
358	0.9878
359	0.9877
360	0.9870
361	0.9871
362	0.9877
363	0.9867
364	0.9871
365	0.9878
366	0.9891
367	0.9875
368	0.9880
369	0.9876
370	0.9878
371	0.9874
372	0.9877
373	0.9883
374	0.9878
375	0.9881
376	0.9871
377	0.9881
378	0.9895
379	0.9878
380	0.9880
381	0.9875
382	0.9875
383	0.9878
384	0.9872
385	0.9876
386	0.9879
387	0.9878
388	0.9883
389	0.9877
390	0.9880
391	0.9883
392	0.9883
393	0.9879
394	0.9881
395	0.9885
396	0.9884
397	0.9885
398	0.9885
399	0.9880
400	0.9884
401	0.9884
402	0.9886
403	0.9888
404	0.9889
405	0.9886
406	0.9891
407	0.9889
408	0.9889
409	0.9889
410	0.9891
411	0.9885
412	0.9887
413	0.9889
414	0.9890
415	0.9888
416	0.9892
417	0.9890
418	0.9888
419	0.9887
420	0.9886
421	0.9887
422	0.9887
423	0.9886
424	0.9888
425	0.9885
426	0.9885
427	0.9890
428	0.9893
429	0.9888
430	0.9887
431	0.9887
432	0.9889
433	0.9891
434	0.9891
435	0.9887
436	0.9887
437	0.9888
438	0.9887
439	0.9891
440	0.9889
441	0.9888
442	0.9890
443	0.9888
444	0.9889
445	0.9891
446	0.9890
447	0.9889
448	0.9892
449	0.9891
450	0.9892
451	0.9891
452	0.9893
453	0.9886
454	0.9888
455	0.9886
456	0.9884
457	0.9888
458	0.9890
459	0.9887
460	0.9891
461	0.9888
462	0.9890
463	0.9892
464	0.9893
465	0.9889
466	0.9889
467	0.9892
468	0.9892
469	0.9895
470	0.9894
471	0.9892
472	0.9894
473	0.9893
474	0.9896
475	0.9897
476	0.9893
477	0.9890
478	0.9894
479	0.9895
480	0.9894
481	0.9896
482	0.9896
483	0.9894
484	0.9896
485	0.9898
486	0.9899
487	0.9900
488	0.9898
489	0.9895
490	0.9897
491	0.9898
492	0.9899
493	0.9897
494	0.9892
495	0.9890
496	0.9891
497	0.9891
498	0.9895
499	0.9899
500	0.9896
501	0.9892
502	0.9893
503	0.9894
504	0.9895
505	0.9896
506	0.9890
507	0.9890
508	0.9894
509	0.9895
510	0.9895
511	0.9896
512	0.9895
513	0.9892
514	0.9894
515	0.9896
516	0.9896
517	0.9897
518	0.9896
519	0.9895
520	0.9899
521	0.9900
522	0.9897
523	0.9900
524	0.9899
525	0.9897
526	0.9895
527	0.9895
528	0.9898
529	0.9900
530	0.9896
531	0.9898
532	0.9901
533	0.9897
534	0.9896
535	0.9899
536	0.9898
537	0.9895
538	0.9898
539	0.9899
540	0.9897
541	0.9900
542	0.9896
543	0.9898
544	0.9898
545	0.9900
546	0.9898
547	0.9902
548	0.9900
549	0.9898
550	0.9898
551	0.9898
552	0.9898
553	0.9899
554	0.9896
555	0.9897
556	0.9900
557	0.9898
558	0.9900
559	0.9900
560	0.9896
561	0.9897
562	0.9896
563	0.9898
564	0.9896
565	0.9894
566	0.9898
567	0.9898
568	0.9897
569	0.9900
570	0.9901
571	0.9898
572	0.9898
573	0.9897
574	0.9892
575	0.9894
576	0.9897
577	0.9894
578	0.9897
579	0.9900
580	0.9896
581	0.9900
582	0.9900
583	0.9896
584	0.9897
585	0.9899
586	0.9898
587	0.9897
588	0.9898
589	0.9899
590	0.9902
591	0.9901
592	0.9898
593	0.9899
594	0.9900
595	0.9899
596	0.9900
597	0.9899
598	0.9897
599	0.9895
600	0.9897
601	0.9900
602	0.9902
603	0.9904
604	0.9899
605	0.9897
606	0.9899
607	0.9900
608	0.9899
609	0.9904
610	0.9897
611	0.9896
612	0.9898
613	0.9895
614	0.9894
615	0.9906
616	0.9901
617	0.9896
618	0.9894
619	0.9894
620	0.9898
621	0.9907
622	0.9895
623	0.9895
624	0.9897
625	0.9897
626	0.9897
627	0.9898
628	0.9896
629	0.9893
630	0.9898
631	0.9898
632	0.9899
633	0.9898
634	0.9895
635	0.9896
636	0.9900
637	0.9894
638	0.9892
639	0.9896
640	0.9894
641	0.9900
642	0.9900
643	0.9896
644	0.9896
645	0.9906
646	0.9899
647	0.9896
648	0.9900
649	0.9896
650	0.9898
651	0.9898
652	0.9896
653	0.9897
654	0.9896
655	0.9900
656	0.9901
657	0.9899
658	0.9897
659	0.9901
660	0.9904
661	0.9897
662	0.9901
663	0.9902
664	0.9894
665	0.9899
666	0.9897
667	0.9895
668	0.9901
669	0.9904
670	0.9899
671	0.9897
672	0.9895
673	0.9897
674	0.9899
675	0.9903
676	0.9896
677	0.9896
678	0.9901
679	0.9897
680	0.9901
681	0.9906
682	0.9889
683	0.9898
684	0.9899
685	0.9896
686	0.9898
687	0.9902
688	0.9900
689	0.9898
690	0.9901
691	0.9900
692	0.9897
693	0.9901
694	0.9894
695	0.9894
696	0.9901
697	0.9900
698	0.9903
699	0.9903
700	0.9901
701	0.9902
702	0.9898
703	0.9902
