Date,Time,°C,kPa,DO %,DO mg/L,SPC-mS/cm,C-mS/cm,TDS mg/L,SAL-ppt,pH,FNU,NTU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m,ALT m,Lat,Lon
6/16/2019,14:28:21,11.814,101.18,92.1,7.97,53.738,40.211,34929.75,35.38,7.82,0.81,0.81,0.431,0.51,1.656,6.67,3.135,34.4,38.25029,-123.00971
6/16/2019,14:28:26,11.882,101.18,92.2,7.98,53.712,40.254,34912.703,35.36,7.82,0.68,0.68,0.399,0.48,1.031,4.17,3.029,34.5,38.25029,-123.0097
6/16/2019,14:28:31,11.856,101.17,92.3,7.98,53.761,40.264,34944.609,35.4,7.82,0.54,0.54,0.543,0.62,1.286,5.19,3.06,-1.5,38.25044,-123.00952
6/16/2019,14:28:36,11.763,101.19,92,7.98,53.832,40.224,34990.586,35.44,7.82,0.66,0.66,0.435,0.51,1.251,5.05,3.216,-8.1,38.25042,-123.00949
6/16/2019,14:28:41,11.785,101.19,91.8,7.96,53.792,40.215,34964.832,35.42,7.81,0.65,0.65,0.457,0.54,1.269,5.12,3.066,-9.7,38.25042,-123.00949
6/16/2019,14:28:46,11.747,101.17,91.5,7.93,53.818,40.195,34981.758,35.43,7.81,0.54,0.54,0.465,0.54,1.244,5.02,3.272,-9,38.25044,-123.00948
6/16/2019,14:28:51,11.846,101.19,91.8,7.94,53.777,40.265,34954.813,35.41,7.81,0.6,0.6,0.565,0.64,1.353,5.46,3.11,-9.5,38.25046,-123.00945
6/16/2019,14:28:56,11.749,101.18,91.7,7.95,53.828,40.206,34988.023,35.44,7.81,0.6,0.6,0.535,0.61,1.244,5.02,3.155,-9.6,38.25046,-123.00944
6/16/2019,14:29:01,11.717,101.18,91.3,7.92,53.838,40.179,34994.391,35.45,7.81,0.63,0.63,0.581,0.66,0.91,3.69,3.239,-8.6,38.25046,-123.00942
6/16/2019,14:29:06,11.677,101.19,90.9,7.89,53.87,40.162,35015.805,35.47,7.81,0.51,0.51,0.559,0.64,1.446,5.83,3.23,-8.4,38.25046,-123.00941
6/16/2019,14:29:11,11.597,101.19,90.1,7.84,53.923,40.114,35050.203,35.5,7.8,0.6,0.6,0.624,0.7,0.923,3.74,3.269,-8.7,38.25047,-123.00939
6/16/2019,14:29:16,11.65,101.2,89.6,7.78,53.873,40.136,35017.66,35.47,7.8,0.44,0.44,0.681,0.76,1.073,4.34,3.393,-9.5,38.25047,-123.00937
6/16/2019,14:29:21,11.65,101.19,89.3,7.76,53.893,40.151,35030.395,35.48,7.8,0.58,0.58,0.391,0.47,1.029,4.16,3.169,-8.8,38.25047,-123.00935
6/16/2019,14:29:26,11.58,101.18,88.7,7.72,53.927,40.099,35052.332,35.5,7.79,0.5,0.5,0.632,0.71,1.109,4.48,3.137,-8.4,38.25047,-123.00932
