station,day 1 start,day 1 end,day 1 above water,day 1 submerged,night start,night end,night above water,night submerged,day 2 start,day 2 end,day 2 above water,day 2 submerged,notes
D1,1709,1715,,,0057,0103,244:247,248:266,F,F,,,
D2,1647,1652,,,0156,0200,284:286,287:300,F,F,,,
D4,1558,1605,,,0246,0252,318:320,321:340,1449,1454,,,
D5,1511,1517,,,0311,0319,341:343,344:362,1434,1438,,,night time drift closer to s6. rename night point?
O1,1444,1453,,,F,F,,,1342,1350,,,
O2,1418,1426,1:,,F,F,,,1407,1413,,,
S1,1635,1640,,,0218,0225,301:303,304:317,F,F,,,
S2,F,F,,,0410,0413,363:365,366:373,F,F,,,
S4,1543,1549,,,F,F,,,F,F,,,
B1,1706,1708,,,0135,0140,267:269,270:283,1535,1542,,,
