wavelength,intensity,error,status,Version,IDData,IDDevice,IDDataType,IDDataTypeSub1,IDDataTypeSub2,IDDataTypeSub3,DateTime,PositionLatitude,PositionLongitude,Comment,CommentSub1,CommentSub2,CommentSub3,IDMethodType,MethodName,Mission,MissionSub,RecordType,CalFactor,IDBasisSpec,IDDataBack,IDDataCal,InclV,InclValid,InclX,InclY,IntegrationTime,P31,P31e,PathLength,PathLengthCustomOn,PressValid,Pressure,RAWDynamic,Salinity,Temperature,Unit1,Unit2,Unit3,Unit4,p999
1,1213,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
2,1231,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
3,1414,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
4,1254,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
5,1228,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
6,1238,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
7,1217,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
8,1232,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
9,1225,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
10,1242,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
11,1233,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
12,1464,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
13,1236,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
14,1254,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
15,1226,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
16,1239,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
17,1012,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
18,1248,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
19,1043,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
20,1232,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
21,1227,0,0,1,95A7_2019-05-02_23-46-20_000_233,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.08301320668919,1,-2.1,3.5,4096,-1,0,+INF,0,1,0.0937411564927639,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
