wavelength,intensity,error,status,Version,IDData,IDDevice,IDDataType,IDDataTypeSub1,IDDataTypeSub2,IDDataTypeSub3,DateTime,PositionLatitude,PositionLongitude,Comment,CommentSub1,CommentSub2,CommentSub3,IDMethodType,MethodName,Mission,MissionSub,RecordType,CalFactor,IDBasisSpec,IDDataBack,IDDataCal,InclV,InclValid,InclX,InclY,IntegrationTime,P31,P31e,PathLength,PathLengthCustomOn,PressValid,Pressure,RAWDynamic,Salinity,Temperature,Unit1,Unit2,Unit3,Unit4,p999
307.94558934712,0,0,0,1,95A7_2019-06-17_14-36-10_000_911,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-17 14:36:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,6.93814644262373,1,-4.9,-4.9,128,-1,0,+INF,0,1,0.664354014877093,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,69
311.27333535203,0,0,0,1,95A7_2019-06-17_14-36-10_000_911,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-17 14:36:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,6.93814644262373,1,-4.9,-4.9,128,-1,0,+INF,0,1,0.664354014877093,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,69
314.60170164096,0,0,0,1,95A7_2019-06-17_14-36-10_000_911,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-17 14:36:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,6.93814644262373,1,-4.9,-4.9,128,-1,0,+INF,0,1,0.664354014877093,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,69
317.93067776125,0.687829853251919,0,0,1,95A7_2019-06-17_14-36-10_000_911,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-17 14:36:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,6.93814644262373,1,-4.9,-4.9,128,-1,0,+INF,0,1,0.664354014877093,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,69
321.26025326024,0.677593978665953,0,0,1,95A7_2019-06-17_14-36-10_000_911,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-17 14:36:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,6.93814644262373,1,-4.9,-4.9,128,-1,0,+INF,0,1,0.664354014877093,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,69
324.59041768527,0.964355152887646,0,0,1,95A7_2019-06-17_14-36-10_000_911,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-17 14:36:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,6.93814644262373,1,-4.9,-4.9,128,-1,0,+INF,0,1,0.664354014877093,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,69
327.92116058368,0.82898388753718,0,0,1,95A7_2019-06-17_14-36-10_000_911,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-17 14:36:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,6.93814644262373,1,-4.9,-4.9,128,-1,0,+INF,0,1,0.664354014877093,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,69
331.25247150281,0.995760351152388,0,0,1,95A7_2019-06-17_14-36-10_000_911,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-17 14:36:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,6.93814644262373,1,-4.9,-4.9,128,-1,0,+INF,0,1,0.664354014877093,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,69
334.58433999,1.08213251838867,0,0,1,95A7_2019-06-17_14-36-10_000_911,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-17 14:36:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,6.93814644262373,1,-4.9,-4.9,128,-1,0,+INF,0,1,0.664354014877093,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,69
337.91675559259,1.16366324491896,0,0,1,95A7_2019-06-17_14-36-10_000_911,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-17 14:36:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,6.93814644262373,1,-4.9,-4.9,128,-1,0,+INF,0,1,0.664354014877093,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,69
341.24970785792,1.37325090420392,0,0,1,95A7_2019-06-17_14-36-10_000_911,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-17 14:36:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,6.93814644262373,1,-4.9,-4.9,128,-1,0,+INF,0,1,0.664354014877093,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,69
344.58318633333,1.65051497484589,0,0,1,95A7_2019-06-17_14-36-10_000_911,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-17 14:36:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,6.93814644262373,1,-4.9,-4.9,128,-1,0,+INF,0,1,0.664354014877093,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,69
