wavelength,intensity,error,status,Version,IDData,IDDevice,IDDataType,IDDataTypeSub1,IDDataTypeSub2,IDDataTypeSub3,DateTime,PositionLatitude,PositionLongitude,Comment,CommentSub1,CommentSub2,CommentSub3,IDMethodType,MethodName,Mission,MissionSub,RecordType,CalFactor,IDBasisSpec,IDDataBack,IDDataCal,IntegrationTime,P31,P31e,PathLength,PathLengthCustomOn,RAWDynamic,Salinity,Temperature,Unit1,Unit2,Unit3,Unit4,p999
1,1106,0,0,1,95A7_2019-07-16_17-34-57_000_011,SAM_8589,SPECTRUM,RAW,,,2019-07-16 17:34:57,0,0,,,,,SAM Control,SAM_8589,No Mission,1,0,1,,DLAB_2018-04-12_14-51-44_608_165,DLAB_2018-04-13_12-54-42_763_767,1024,-1,0,+INF,0,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
2,1093,0,0,1,95A7_2019-07-16_17-34-57_000_011,SAM_8589,SPECTRUM,RAW,,,2019-07-16 17:34:57,0,0,,,,,SAM Control,SAM_8589,No Mission,1,0,1,,DLAB_2018-04-12_14-51-44_608_165,DLAB_2018-04-13_12-54-42_763_767,1024,-1,0,+INF,0,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
3,1107,0,0,1,95A7_2019-07-16_17-34-57_000_011,SAM_8589,SPECTRUM,RAW,,,2019-07-16 17:34:57,0,0,,,,,SAM Control,SAM_8589,No Mission,1,0,1,,DLAB_2018-04-12_14-51-44_608_165,DLAB_2018-04-13_12-54-42_763_767,1024,-1,0,+INF,0,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
4,1121,0,0,1,95A7_2019-07-16_17-34-57_000_011,SAM_8589,SPECTRUM,RAW,,,2019-07-16 17:34:57,0,0,,,,,SAM Control,SAM_8589,No Mission,1,0,1,,DLAB_2018-04-12_14-51-44_608_165,DLAB_2018-04-13_12-54-42_763_767,1024,-1,0,+INF,0,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
5,1095,0,0,1,95A7_2019-07-16_17-34-57_000_011,SAM_8589,SPECTRUM,RAW,,,2019-07-16 17:34:57,0,0,,,,,SAM Control,SAM_8589,No Mission,1,0,1,,DLAB_2018-04-12_14-51-44_608_165,DLAB_2018-04-13_12-54-42_763_767,1024,-1,0,+INF,0,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
6,1104,0,0,1,95A7_2019-07-16_17-34-57_000_011,SAM_8589,SPECTRUM,RAW,,,2019-07-16 17:34:57,0,0,,,,,SAM Control,SAM_8589,No Mission,1,0,1,,DLAB_2018-04-12_14-51-44_608_165,DLAB_2018-04-13_12-54-42_763_767,1024,-1,0,+INF,0,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
7,1116,0,0,1,95A7_2019-07-16_17-34-57_000_011,SAM_8589,SPECTRUM,RAW,,,2019-07-16 17:34:57,0,0,,,,,SAM Control,SAM_8589,No Mission,1,0,1,,DLAB_2018-04-12_14-51-44_608_165,DLAB_2018-04-13_12-54-42_763_767,1024,-1,0,+INF,0,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
8,1111,0,0,1,95A7_2019-07-16_17-34-57_000_011,SAM_8589,SPECTRUM,RAW,,,2019-07-16 17:34:57,0,0,,,,,SAM Control,SAM_8589,No Mission,1,0,1,,DLAB_2018-04-12_14-51-44_608_165,DLAB_2018-04-13_12-54-42_763_767,1024,-1,0,+INF,0,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
9,1096,0,0,1,95A7_2019-07-16_17-34-57_000_011,SAM_8589,SPECTRUM,RAW,,,2019-07-16 17:34:57,0,0,,,,,SAM Control,SAM_8589,No Mission,1,0,1,,DLAB_2018-04-12_14-51-44_608_165,DLAB_2018-04-13_12-54-42_763_767,1024,-1,0,+INF,0,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
10,1114,0,0,1,95A7_2019-07-16_17-34-57_000_011,SAM_8589,SPECTRUM,RAW,,,2019-07-16 17:34:57,0,0,,,,,SAM Control,SAM_8589,No Mission,1,0,1,,DLAB_2018-04-12_14-51-44_608_165,DLAB_2018-04-13_12-54-42_763_767,1024,-1,0,+INF,0,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
11,1121,0,0,1,95A7_2019-07-16_17-34-57_000_011,SAM_8589,SPECTRUM,RAW,,,2019-07-16 17:34:57,0,0,,,,,SAM Control,SAM_8589,No Mission,1,0,1,,DLAB_2018-04-12_14-51-44_608_165,DLAB_2018-04-13_12-54-42_763_767,1024,-1,0,+INF,0,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
12,1108,0,0,1,95A7_2019-07-16_17-34-57_000_011,SAM_8589,SPECTRUM,RAW,,,2019-07-16 17:34:57,0,0,,,,,SAM Control,SAM_8589,No Mission,1,0,1,,DLAB_2018-04-12_14-51-44_608_165,DLAB_2018-04-13_12-54-42_763_767,1024,-1,0,+INF,0,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
13,1106,0,0,1,95A7_2019-07-16_17-34-57_000_011,SAM_8589,SPECTRUM,RAW,,,2019-07-16 17:34:57,0,0,,,,,SAM Control,SAM_8589,No Mission,1,0,1,,DLAB_2018-04-12_14-51-44_608_165,DLAB_2018-04-13_12-54-42_763_767,1024,-1,0,+INF,0,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
14,1126,0,0,1,95A7_2019-07-16_17-34-57_000_011,SAM_8589,SPECTRUM,RAW,,,2019-07-16 17:34:57,0,0,,,,,SAM Control,SAM_8589,No Mission,1,0,1,,DLAB_2018-04-12_14-51-44_608_165,DLAB_2018-04-13_12-54-42_763_767,1024,-1,0,+INF,0,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
15,1119,0,0,1,95A7_2019-07-16_17-34-57_000_011,SAM_8589,SPECTRUM,RAW,,,2019-07-16 17:34:57,0,0,,,,,SAM Control,SAM_8589,No Mission,1,0,1,,DLAB_2018-04-12_14-51-44_608_165,DLAB_2018-04-13_12-54-42_763_767,1024,-1,0,+INF,0,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
16,1111,0,0,1,95A7_2019-07-16_17-34-57_000_011,SAM_8589,SPECTRUM,RAW,,,2019-07-16 17:34:57,0,0,,,,,SAM Control,SAM_8589,No Mission,1,0,1,,DLAB_2018-04-12_14-51-44_608_165,DLAB_2018-04-13_12-54-42_763_767,1024,-1,0,+INF,0,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
