[Spectrum]
Version            = 1
IDData             = 95A7_2019-05-02_23-19-03_000_017
IDDevice           = SAM_8586
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2019-05-02 23:19:03
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_8586
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2018-04-12_09-33-02_217_812
IDDataCal = DLAB_2018-04-12_15-39-16_217_235
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 1
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1295 0 0
 2 1282 0 0
 3 1286 0 0
 4 1289 0 0
 5 1286 0 0
 6 1279 0 0
 7 1287 0 0
 8 1289 0 0
 9 1288 0 0
 10 1286 0 0
 11 1286 0 0
 12 1285 0 0
 13 1288 0 0
 14 1285 0 0
 15 1284 0 0
 16 1286 0 0
 17 1283 0 0
 18 1282 0 0
 19 1280 0 0
 20 1286 0 0
 21 1284 0 0
 22 1288 0 0
 23 1281 0 0
 24 1284 0 0
 25 1285 0 0
 26 1288 0 0
 27 1283 0 0
 28 1284 0 0
 29 1282 0 0
 30 1285 0 0
 31 1283 0 0
 32 1287 0 0
 33 1284 0 0
 34 1297 0 0
 35 1294 0 0
 36 1305 0 0
 37 1311 0 0
 38 1327 0 0
 39 1335 0 0
 40 1366 0 0
 41 1380 0 0
 42 1384 0 0
 43 1358 0 0
 44 1342 0 0
 45 1324 0 0
 46 1317 0 0
 47 1306 0 0
 48 1303 0 0
 49 1296 0 0
 50 1297 0 0
 51 1293 0 0
 52 1298 0 0
 53 1295 0 0
 54 1298 0 0
 55 1296 0 0
 56 1306 0 0
 57 1306 0 0
 58 1310 0 0
 59 1311 0 0
 60 1315 0 0
 61 1320 0 0
 62 1323 0 0
 63 1328 0 0
 64 1333 0 0
 65 1339 0 0
 66 1342 0 0
 67 1345 0 0
 68 1345 0 0
 69 1348 0 0
 70 1344 0 0
 71 1349 0 0
 72 1345 0 0
 73 1341 0 0
 74 1344 0 0
 75 1344 0 0
 76 1340 0 0
 77 1344 0 0
 78 1339 0 0
 79 1341 0 0
 80 1334 0 0
 81 1333 0 0
 82 1333 0 0
 83 1329 0 0
 84 1330 0 0
 85 1326 0 0
 86 1322 0 0
 87 1328 0 0
 88 1319 0 0
 89 1319 0 0
 90 1327 0 0
 91 1318 0 0
 92 1317 0 0
 93 1314 0 0
 94 1309 0 0
 95 1311 0 0
 96 1314 0 0
 97 1304 0 0
 98 1306 0 0
 99 1307 0 0
 100 1307 0 0
 101 1302 0 0
 102 1307 0 0
 103 1302 0 0
 104 1301 0 0
 105 1297 0 0
 106 1302 0 0
 107 1295 0 0
 108 1299 0 0
 109 1294 0 0
 110 1295 0 0
 111 1289 0 0
 112 1294 0 0
 113 1298 0 0
 114 1290 0 0
 115 1290 0 0
 116 1293 0 0
 117 1290 0 0
 118 1294 0 0
 119 1293 0 0
 120 1293 0 0
 121 1293 0 0
 122 1294 0 0
 123 1290 0 0
 124 1290 0 0
 125 1286 0 0
 126 1291 0 0
 127 1286 0 0
 128 1290 0 0
 129 1292 0 0
 130 1294 0 0
 131 1291 0 0
 132 1288 0 0
 133 1289 0 0
 134 1288 0 0
 135 1289 0 0
 136 1288 0 0
 137 1286 0 0
 138 1286 0 0
 139 1288 0 0
 140 1290 0 0
 141 1287 0 0
 142 1292 0 0
 143 1282 0 0
 144 1285 0 0
 145 1286 0 0
 146 1287 0 0
 147 1284 0 0
 148 1288 0 0
 149 1288 0 0
 150 1288 0 0
 151 1282 0 0
 152 1282 0 0
 153 1285 0 0
 154 1285 0 0
 155 1287 0 0
 156 1286 0 0
 157 1286 0 0
 158 1287 0 0
 159 1284 0 0
 160 1288 0 0
 161 1288 0 0
 162 1285 0 0
 163 1285 0 0
 164 1288 0 0
 165 1285 0 0
 166 1292 0 0
 167 1284 0 0
 168 1288 0 0
 169 1285 0 0
 170 1286 0 0
 171 1284 0 0
 172 1286 0 0
 173 1285 0 0
 174 1284 0 0
 175 1284 0 0
 176 1288 0 0
 177 1283 0 0
 178 1287 0 0
 179 1282 0 0
 180 1288 0 0
 181 1286 0 0
 182 1284 0 0
 183 1282 0 0
 184 1286 0 0
 185 1282 0 0
 186 1287 0 0
 187 1284 0 0
 188 1286 0 0
 189 1284 0 0
 190 1285 0 0
 191 1280 0 0
 192 1284 0 0
 193 1284 0 0
 194 1286 0 0
 195 1286 0 0
 196 1282 0 0
 197 1284 0 0
 198 1284 0 0
 199 1280 0 0
 200 1289 0 0
 201 1285 0 0
 202 1289 0 0
 203 1283 0 0
 204 1290 0 0
 205 1289 0 0
 206 1289 0 0
 207 1282 0 0
 208 1283 0 0
 209 1279 0 0
 210 1291 0 0
 211 1285 0 0
 212 1285 0 0
 213 1280 0 0
 214 1282 0 0
 215 1282 0 0
 216 1285 0 0
 217 1288 0 0
 218 1289 0 0
 219 1284 0 0
 220 1281 0 0
 221 1283 0 0
