[Spectrum]
Version            = 1
IDData             = 95A7_2019-04-05_15-50-10_000_352
IDDevice           = SAM_8589
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2019-04-05 15:50:10
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_8589
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2018-04-12_14-51-44_608_165
IDDataCal = DLAB_2018-04-13_12-52-31_209_732
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 26
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1995 0 0
 2 2000 0 0
 3 1994 0 0
 4 1992 0 0
 5 2000 0 0
 6 1990 0 0
 7 2001 0 0
 8 1999 0 0
 9 1992 0 0
 10 1997 0 0
 11 1989 0 0
 12 1985 0 0
 13 1998 0 0
 14 1986 0 0
 15 1986 0 0
 16 1997 0 0
 17 1994 0 0
 18 1995 0 0
 19 1998 0 0
 20 2004 0 0
 21 1988 0 0
 22 2012 0 0
 23 2004 0 0
 24 2006 0 0
 25 2014 0 0
 26 2017 0 0
 27 2020 0 0
 28 2047 0 0
 29 2235 0 0
 30 2451 0 0
 31 2408 0 0
 32 2231 0 0
 33 2184 0 0
 34 2232 0 0
 35 2291 0 0
 36 2358 0 0
 37 2472 0 0
 38 3541 0 0
 39 5709 0 0
 40 5978 0 0
 41 4000 0 0
 42 2935 0 0
 43 2775 0 0
 44 2779 0 0
 45 2781 0 0
 46 2754 0 0
 47 2734 0 0
 48 2712 0 0
 49 2691 0 0
 50 2667 0 0
 51 2659 0 0
 52 2694 0 0
 53 2971 0 0
 54 3566 0 0
 55 4071 0 0
 56 4078 0 0
 57 3724 0 0
 58 3297 0 0
 59 2913 0 0
 60 2661 0 0
 61 2534 0 0
 62 2508 0 0
 63 2512 0 0
 64 2515 0 0
 65 2535 0 0
 66 2548 0 0
 67 2606 0 0
 68 2778 0 0
 69 3371 0 0
 70 5755 0 0
 71 10309 0 0
 72 12965 0 0
 73 11040 0 0
 74 7373 0 0
 75 5120 0 0
 76 4035 0 0
 77 3676 0 0
 78 3627 0 0
 79 3660 0 0
 80 3819 0 0
 81 4238 0 0
 82 4886 0 0
 83 5512 0 0
 84 5868 0 0
 85 5808 0 0
 86 5340 0 0
 87 4756 0 0
 88 4307 0 0
 89 4102 0 0
 90 4719 0 0
 91 7166 0 0
 92 9117 0 0
 93 8686 0 0
 94 6764 0 0
 95 5352 0 0
 96 4612 0 0
 97 4244 0 0
 98 3892 0 0
 99 3428 0 0
 100 2962 0 0
 101 2724 0 0
 102 2636 0 0
 103 2658 0 0
 104 2640 0 0
 105 2550 0 0
 106 2464 0 0
 107 2434 0 0
 108 2403 0 0
 109 2347 0 0
 110 2296 0 0
 111 2259 0 0
 112 2262 0 0
 113 2245 0 0
 114 2255 0 0
 115 2258 0 0
 116 2237 0 0
 117 2186 0 0
 118 2168 0 0
 119 2234 0 0
 120 2473 0 0
 121 2644 0 0
 122 2580 0 0
 123 2339 0 0
 124 2156 0 0
 125 2088 0 0
 126 2052 0 0
 127 2046 0 0
 128 2048 0 0
 129 2040 0 0
 130 2045 0 0
 131 2051 0 0
 132 2045 0 0
 133 2041 0 0
 134 2024 0 0
 135 2026 0 0
 136 2022 0 0
 137 2036 0 0
 138 2030 0 0
 139 2021 0 0
 140 2016 0 0
 141 2012 0 0
 142 2018 0 0
 143 1994 0 0
 144 1997 0 0
 145 2009 0 0
 146 2001 0 0
 147 2009 0 0
 148 2029 0 0
 149 2008 0 0
 150 2018 0 0
 151 2020 0 0
 152 2027 0 0
 153 2020 0 0
 154 2009 0 0
 155 2002 0 0
 156 2000 0 0
 157 2004 0 0
 158 2012 0 0
 159 2004 0 0
 160 2006 0 0
 161 2014 0 0
 162 2021 0 0
 163 2007 0 0
 164 1989 0 0
 165 1996 0 0
 166 1998 0 0
 167 1995 0 0
 168 1995 0 0
 169 1993 0 0
 170 1990 0 0
 171 1982 0 0
 172 1990 0 0
 173 1998 0 0
 174 1989 0 0
 175 1982 0 0
 176 1992 0 0
 177 1992 0 0
 178 1990 0 0
 179 2003 0 0
 180 2004 0 0
 181 1989 0 0
 182 2002 0 0
 183 2003 0 0
 184 2018 0 0
 185 1993 0 0
 186 1989 0 0
 187 2000 0 0
 188 1990 0 0
 189 1999 0 0
 190 1993 0 0
 191 1990 0 0
 192 1992 0 0
 193 1997 0 0
 194 1995 0 0
 195 1992 0 0
 196 1994 0 0
 197 2001 0 0
 198 1992 0 0
 199 1984 0 0
 200 1996 0 0
 201 2004 0 0
 202 1987 0 0
 203 1997 0 0
 204 1990 0 0
 205 1996 0 0
 206 1990 0 0
 207 1998 0 0
 208 1996 0 0
 209 1996 0 0
 210 1992 0 0
 211 2002 0 0
 212 1993 0 0
 213 1997 0 0
 214 2002 0 0
 215 1998 0 0
 216 1994 0 0
 217 1994 0 0
 218 2001 0 0
 219 1999 0 0
 220 1984 0 0
 221 1998 0 0
